2.44893e-04 3.49258e-04  1.79672e+00 1.79700e+00 5.66431e-05
2.45994e-04 2.92162e-04  1.81278e+00 1.81301e+00 5.67222e-05
2.47096e-04 1.83987e-04  1.82890e+00 1.82904e+00 5.68281e-05
2.48197e-04 1.60125e-04  1.84509e+00 1.84520e+00 5.69279e-05
2.49299e-04 1.66082e-04  1.86134e+00 1.86145e+00 5.70230e-05
2.50401e-04 1.57654e-04  1.87765e+00 1.87776e+00 5.71361e-05
2.51502e-04 1.73132e-04  1.89405e+00 1.89418e+00 5.72730e-05
2.52604e-04 1.70430e-04  1.91053e+00 1.91066e+00 5.74812e-05
2.53707e-04 1.80541e-04  1.92709e+00 1.92723e+00 5.75898e-05
2.54809e-04 2.68229e-04  1.94372e+00 1.94392e+00 5.76684e-05
2.55911e-04 2.85883e-04  1.96040e+00 1.96062e+00 5.78046e-05
2.57013e-04 3.11296e-04  1.97714e+00 1.97739e+00 5.78752e-05
2.58116e-04 3.38341e-04  1.99396e+00 1.99423e+00 5.79785e-05
2.59219e-04 3.12197e-04  2.01087e+00 2.01111e+00 5.80640e-05
2.60321e-04 2.83268e-04  2.02786e+00 2.02807e+00 5.82378e-05
2.61424e-04 2.40897e-04  2.04492e+00 2.04510e+00 5.84141e-05
2.62527e-04 1.52951e-04  2.06204e+00 2.06215e+00 5.85350e-05
2.63630e-04 1.65017e-04  2.07921e+00 2.07933e+00 5.86766e-05
2.64734e-04 1.77854e-04  2.09646e+00 2.09659e+00 5.87792e-05
2.65837e-04 1.84392e-04  2.11378e+00 2.11392e+00 5.88095e-05
2.66941e-04 1.95896e-04  2.13121e+00 2.13136e+00 5.88861e-05
2.68044e-04 1.77542e-04  2.14872e+00 2.14884e+00 5.90278e-05
2.69148e-04 1.94309e-04  2.16627e+00 2.16641e+00 5.91340e-05
2.70252e-04 2.99779e-04  2.18387e+00 2.18410e+00 5.91962e-05
2.71356e-04 3.42018e-04  2.20154e+00 2.20180e+00 5.93096e-05
2.72460e-04 3.57888e-04  2.21930e+00 2.21958e+00 5.94690e-05
2.73564e-04 3.18720e-04  2.23715e+00 2.23740e+00 5.95562e-05
2.74668e-04 2.38427e-04  2.25508e+00 2.25526e+00 5.96180e-05
2.75773e-04 2.07689e-04  2.27308e+00 2.27323e+00 5.96968e-05
2.76877e-04 2.07613e-04  2.29111e+00 2.29127e+00 5.97885e-05
2.77982e-04 1.66238e-04  2.30921e+00 2.30933e+00 5.98733e-05
2.79087e-04 1.71935e-04  2.32739e+00 2.32752e+00 6.00405e-05
2.80192e-04 1.44735e-04  2.34567e+00 2.34578e+00 6.02105e-05
2.81297e-04 1.50144e-04  2.36404e+00 2.36414e+00 6.02953e-05
2.82402e-04 2.09288e-04  2.38246e+00 2.38261e+00 6.04091e-05
2.83507e-04 2.45810e-04  2.40094e+00 2.40112e+00 6.05265e-05
2.84612e-04 2.86073e-04  2.41947e+00 2.41970e+00 6.06182e-05
2.85718e-04 3.42600e-04  2.43808e+00 2.43836e+00 6.06793e-05
2.86824e-04 3.23103e-04  2.45679e+00 2.45705e+00 6.07750e-05
2.87929e-04 3.09560e-04  2.47558e+00 2.47582e+00 6.09425e-05
2.89035e-04 2.63585e-04  2.49444e+00 2.49464e+00 6.10628e-05
2.90141e-04 1.94201e-04  2.51335e+00 2.51349e+00 6.11817e-05
2.91247e-04 1.83367e-04  2.53232e+00 2.53245e+00 6.13256e-05
2.92354e-04 1.78401e-04  2.55137e+00 2.55150e+00 6.14320e-05
2.93460e-04 1.57298e-04  2.57049e+00 2.57060e+00 6.14797e-05
2.94567e-04 1.68427e-04  2.58971e+00 2.58982e+00 6.15258e-05
2.95673e-04 1.48655e-04  2.60900e+00 2.60910e+00 6.16071e-05
2.96780e-04 1.73216e-04  2.62835e+00 2.62848e+00 6.17124e-05
2.97887e-04 2.58989e-04  2.64776e+00 2.64796e+00 6.17897e-05
2.98994e-04 3.05910e-04  2.66724e+00 2.66748e+00 6.18728e-05
3.00101e-04 3.44280e-04  2.68679e+00 2.68706e+00 6.19833e-05
3.01208e-04 3.56007e-04  2.70642e+00 2.70670e+00 6.20866e-05
3.02315e-04 3.01881e-04  2.72615e+00 2.72638e+00 6.21421e-05
3.03423e-04 2.74952e-04  2.74594e+00 2.74615e+00 6.22047e-05
3.04530e-04 2.34328e-04  2.76579e+00 2.76597e+00 6.23145e-05
3.05638e-04 1.62994e-04  2.78569e+00 2.78581e+00 6.23794e-05
